depth,MSA-8,MSA-10,MSA-12,MSA-14,MSA-16,MSA-20,MSA-30,MSA-32,MSA-36,MSA-38,MSA-39,MSA-40,MSA-41,MSA-42,MSA-43,MSA-46,MSA-48,MSA-49,MSA-50
12.0,,,,,,,,,,,,,,,,,,15.487,
13.5,,,,,,,,12.395,,,,,,,,,,11.5235,
15.0,,,,,,,14.834,12.336500000000001,,,,,,,,,,7.56,
16.0,,,,,,,12.084999999999999,12.278,,,,,,,,,,10.573,
17.0,,,,,,,9.335999999999999,20.498,,,,,,,17.876,,,13.586,
18.0,,,,,,,6.587,28.718000000000004,,,,,,,20.13325,,,16.599,
18.5,,,,,,,6.743,36.938,,,,,,,22.390500000000003,22.399,,15.80125,
19.0,,,,,,,6.899,45.158,,,,,,,24.647750000000002,24.01325,,15.003499999999999,
20.0,,,,,,,7.055,34.9815,,,,10.864,,,26.905,25.6275,14.3196684138931,14.20575,
21.0,,,,,,,7.211,24.805,,,,14.677,,,26.149,27.241750000000003,14.32405393944305,13.408,
21.5,,,,,,,7.19825,14.628499999999999,,,,18.490000000000002,,,25.393,28.856,14.328439464993,15.93625,
22.0,,,,,,,7.1855,4.452,,,,22.303,,,24.637,27.23025,16.20075443972935,18.4645,
23.0,,,,,,,7.172750000000001,4.00975,,,,26.116,,,23.881,25.6045,18.0730694144657,20.99275,
24.0,,,,,,,7.16,3.5675,,,,25.34875,,,21.29075,23.97875,20.59635207425885,23.521,
24.5,,,,,,,6.50075,3.12525,,,,24.5815,,,18.700499999999998,22.353,23.119634734052,25.554000000000002,
25.0,,,,,,,5.8415,2.683,,,,23.81425,,,16.11025,25.790200000000002,24.54854411174795,27.587,
26.0,,,,,,,5.18225,4.02025,,,,23.047,,,13.52,29.227400000000003,25.9774534894439,29.619999999999997,
27.0,,,,,,,4.523,5.3575,,,,19.6985,,,14.085749999999999,32.6646,27.158774112083,31.653,17.993
27.5,,,,,,,5.08425,6.69475,,,,16.35,,,14.651499999999999,36.1018,28.3400947347221,29.91,18.215249999999997
28.0,,,,,,,5.6455,8.032,,,,13.0015,,,15.21725,39.539,28.36814920985855,28.167,18.4375
29.0,,,,,,,6.2067499999999995,9.443249999999999,,,,9.653,,,15.783,37.49325,28.396203684995,26.424,18.659750000000003
30.0,,,,,,,6.768,10.8545,,,,9.56625,,7.515,16.943749999999998,35.447500000000005,28.23127053221785,24.681,18.882
30.5,,,,,,,8.50925,12.26575,,,,9.4795,,10.916,18.104499999999998,33.40175,28.0663373794407,23.784,22.362000000000002
31.0,,,,,,,10.2505,13.677,,,,9.39275,26.517,14.317,19.265249999999998,31.356,28.8759040112283,22.887,25.842
32.0,,11.751,,,,,11.99175,13.7165,,,,9.306,24.3278,17.718,20.426,30.937250000000002,29.6854706430159,21.990000000000002,29.322
33.0,,14.84975,,,,27.64,13.733,13.756,,,,10.0415,22.1386,21.119,20.6195,30.518500000000003,32.17641072597185,21.093,32.802
33.5,,17.9485,,,,28.598,14.193750000000001,13.7955,,,,10.777,19.949399999999997,20.210250000000002,20.813,30.09975,34.6673508089278,21.331,32.5665
34.0,,21.04725,,,,29.556,14.6545,13.835,,,,11.5125,17.760199999999998,19.3015,21.0065,29.681,33.35602598129075,21.569000000000003,32.331
35.0,,24.146,,,,30.514000000000003,15.11525,14.162,,,,12.248,15.571,18.39275,21.2,29.192500000000003,32.0447011536537,21.807000000000002,32.0955
36.0,,22.57025,,14.082,,31.472,15.576,14.489,20.682,14.926,,10.136,30.9955,17.484,21.01025,28.704,36.4110570075485,22.045,31.86
36.5,,20.994500000000002,,14.672,,27.50225,15.2405,14.816,19.696749999999998,15.465857142857143,,8.024,46.42,16.5455,20.8205,28.2155,40.7774128614433,27.1085,40.163
37.0,,19.41875,,15.262,,23.5325,14.905000000000001,15.143,18.7115,16.005714285714284,,5.911999999999999,61.844500000000004,15.607000000000001,20.63075,27.727,34.90507763721545,32.172,48.466
38.0,,17.843,,15.852,,19.56275,14.5695,16.06775,17.72625,16.545571428571428,12.831,3.8,77.269,14.668500000000002,20.441,29.27475,29.0327424129876,37.2355,56.769000000000005
39.0,,19.445,,16.442,,15.593,14.234,16.9925,16.741,17.085428571428572,14.756,3.432,65.13900000000001,13.73,22.2625,30.822499999999998,23.672827798517147,42.299,65.072
39.5,,21.047,,17.70775,,15.48125,15.20325,17.91725,18.25325,17.625285714285713,16.680999999999997,3.064,53.009,21.132,24.084,32.37025,18.3129131840467,44.5925,64.3435
40.0,,22.649,,18.9735,,15.3695,16.1725,18.842,19.7655,18.165142857142854,18.605999999999998,2.6959999999999997,40.879,28.534,25.9055,33.918,17.97637326083245,46.885999999999996,63.615
