depth,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39,msa-40,msa-41,msa-42,msa-43,msa-46,msa-48,msa-49,msa-50
12.0,,,,,,,,,,,,,,,,,,123.508,
13.5,,,,,,,,92.106,,,,,,,,,,94.995,
15.0,,,,,,,116.742,102.237,,,,,,,,,,66.482,
16.0,,,,,,,88.74033333333334,112.368,,,,,,,,,,63.916,
17.0,,,,,,,60.738666666666674,119.58675,,,,,,,52.904,,,61.35,
18.0,,,,,,,32.737,126.8055,,,,,,,49.612750000000005,,,58.784,
18.5,,,,,,,34.945,134.02425,,,,,,,46.3215,93.45,,69.136,
19.0,,,,,,,37.153000000000006,141.243,,,,,,,43.03025,89.15925,,79.488,
20.0,,,,,,,39.361,123.92975,,,,48.74,,,39.739,84.86850000000001,57.3971625140525,89.84,
21.0,,,,,,,41.569,106.6165,,,,62.1735,,,39.33675,80.57775000000001,55.78788753521165,100.192,
21.5,,,,,,,51.7765,89.30324999999999,,,,75.607,,,38.9345,76.287,54.1786125563708,86.73375,
22.0,,,,,,,61.984,71.99,,,,89.04050000000001,,,38.532250000000005,74.52550000000001,53.25515113297365,73.2755,
23.0,,,,,,,72.1915,69.9365,,,,102.474,,,38.13,72.76400000000001,52.3316897095765,59.81725,
24.0,,,,,,,82.399,67.883,,,,87.12,,,40.00025,71.0025,49.14577284888,46.359,
24.5,,,,,,,76.04,65.8295,,,,71.766,,,41.8705,69.241,45.9598559881835,45.37425,
25.0,,,,,,,69.681,63.776,,,,56.412,,,43.74075,71.2762,44.97686515738295,44.3895,
26.0,,,,,,,63.322,67.6645,,,,41.058,,,45.611,73.3114,43.9938743265824,43.40475,
27.0,,,,,,,56.963,71.553,,,,41.0015,,,61.235,75.3466,45.7689880349439,42.42,54.703
27.5,,,,,,,61.379,75.4415,,,,40.945,,,76.859,77.3818,47.5441017433054,42.24025,53.2325
28.0,,,,,,,65.795,79.33,,,,40.8885,,,92.483,79.417,49.91159014053029,42.060500000000005,51.762
29.0,,,,,,,70.211,78.206,,,,40.832,,,108.107,82.5955,52.2790785377552,41.88075,50.2915
